,presidentName,birthday,age
0,George Washington,1732-02-02,293
1,John Adams,1735-10-30,290
2,Thomas Jefferson,1743-04-13,282
3,James Madison,1751-03-16,274
4,James Monroe,1758-04-28,267
5,John Quincy Adams,1767-07-11,258
6,Andrew Jackson,1767-03-15,258
7,Martin Van Buren,1782-12-05,243
8,William Henry Harrison,1773-02-19,252
9,John Tyler,1790-03-29,235
10,James K. Polk,1795-11-02,230
11,Zachary Taylor,1784-11-12,241
12,Millard Fillmore,1800-01-07,225
13,Franklin Pierce,1804-12-23,221
14,James Buchanan,1791-04-23,234
15,Abraham Lincoln,1809-02-12,216
16,Andrew Johnson,1808-12-29,217
17,Ulysses S. Grant,1822-04-27,203
18,Rutherford B. Hayes,1822-10-04,203
19,James A. Garfield,1831-11-19,194
20,Chester Arthur,1829-10-05,196
21,Grover Cleveland,1837-03-18,188
22,Benjamin Harrison,1833-04-20,192
23,William McKinley,1843-01-29,182
24,Theodore Roosevelt,1858-10-27,167
25,William Howard Taft,1857-09-15,168
26,Woodrow Wilson,1856-12-28,169
27,Warren G. Harding,1865-11-02,160
28,Calvin Coolidge,1872-07-04,153
29,Herbert Hoover,1874-08-10,151
30,Franklin Roosevelt,1882-01-30,143
31,Harry S. Truman,1884-05-08,141
32,Dwight Eisenhower,1890-10-14,135
33,John F. Kennedy,1917-05-29,108
34,Lyndon B. Johnson,1908-08-27,117
35,Richard Nixon,1913-01-09,112
36,Gerald Ford,1913-07-14,112
37,Jimmy Carter,1924-10-01,101
38,Ronald Reagan,1911-02-06,114
39,George Bush,1924-06-12,101
40,Bill Clinton,1946-08-19,79
41,George W. Bush,1946-07-06,79
42,Barack Obama,1961-08-04,64
43,Donald Trump,1946-06-14,79
44,Joe Biden,1942-11-20,83
